time_modified,editors_choice,category,title,url,uuid,description,shipping,time_published,hotness,price,picture_url
,,SUPPLIES,Bic Round Stic Grip Xtra Comfort Pen 36-Pack,https://www.dealnews.com/Bic-Round-Stic-Grip-Xtra-Comfort-Pen-36-Pack-for-3-free-shipping-w-Prime/2173604.html,2173604,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173604"">Bic Round Stic Grip Xtra Comfort Pen 36-Pack</a> in Black and Blue for <b>$2.85</b> with <b>free shipping</b>. That's $1 under our mention from a month ago and the lowest price we've seen. (It's a current low by $2.) The pack includes 12 blue pens and 24 black pens.",free shipping w/ Prime,2018-01-07T19:02:41-05:00,4,$3,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/dkib3z6yikipxekl2doy"
,,EXERCISE EQUIPMENT,Cap Barbell Cast Iron Kettlebells,https://www.dealnews.com/Cap-Barbell-Cast-Iron-Kettlebells-from-7-pickup-at-Walmart/2173565.html,2173565,"Walmart offers a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099288,2173565"">Cap Barbell Cast Iron Kettlebells</a>, with prices starting from <strong>$6.90</strong>. Opt for in-store <b>pickup</b> to avoid the $5.99 shipping charge, or get free shipping with orders of $35 or more. A couple of notable sizes:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173565"">Cap Barbell 10-lb. Cast Iron Kettlebell</a> for <strong>$6.90</strong> (low by $4)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099279,2173565"">Cap Barbell 15-lb. Cast Iron Kettlebell</a> for <strong>$11.35</strong> (low by $8)
 </li>
</ul>",pickup at Walmart,2018-01-07T18:54:06-05:00,4,from $7,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/o2dq4xalo59laawp7dwd"
,,KITCHEN,Good Cook 3-Piece Mixing Spoon Set,https://www.dealnews.com/Good-Cook-3-Piece-Mixing-Spoon-Set-for-2-free-shipping-w-Prime/2173598.html,2173598,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173598"">Good Cook 3-Piece Mixing Spoon Set</a> for <b>$1.93</b>. Plus, Amazon Prime members bag <b>free shipping</b>. That's the lowest price we could find by $2. These stain-resistant plastic spoons are safe for all non-stick surfaces.",free shipping w/ Prime,2018-01-07T18:52:33-05:00,4,$2,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rknolsqpjcoh5gqqvpnt"
,,SKIN CARE,Kingdom Cares Facial Cleansing Brush,https://www.dealnews.com/Kingdom-Cares-Facial-Cleansing-Brush-for-21-free-shipping-w-Prime/2173601.html,2173601,"Kingdom Cares Beauty via Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173601"">Kingdom Cares Facial Cleansing Brush</a> in White for $29.99. Clip the 30% off coupon on the product page to drop it to <b>$20.99</b>. With <b>free shipping</b>, that's $3 under our mention from two weeks ago, $9 off, and the lowest price we've seen. It includes three attachments and two brush heads.",free shipping w/ Prime,2018-01-07T18:34:11-05:00,3,$21,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/mivhvzep4zohmeq82omu"
,True,AIR PURIFIERS,Black + Decker Table Top HEPA Air Cleaner,https://www.dealnews.com/Black-Decker-Table-Top-HEPA-Air-Cleaner-for-15-pickup-at-Walmart/2173595.html,2173595,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173595"">Black + Decker Table Top HEPA Fresh Air Cleaner</a> for <b>$14.88</b>. Opt for in-store <b>pickup</b> to avoid the $5.99 shipping charge. That's $13 off and tied with our September mention as the lowest price we've seen. It's designed for medium to small rooms.",pickup at Walmart,2018-01-07T18:25:48-05:00,4,$15,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hd6qexmvskhflnubbgfw"
,,TV WALL MOUNTS,Vivo Dual LCD Monitor Desk Mount Stand,https://www.dealnews.com/Vivo-Dual-LCD-Monitor-Desk-Mount-Stand-for-30-pickup-at-Walmart/2173592.html,2173592,"Vivo via Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173592"">Vivo Dual LCD Monitor Desk Mount Stand</a> in Black for <strong>$29.99</strong>. Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping charge. That's $3 under our mention from a year ago and the lowest total price we could find by $23. It supports two LCD screens, each up to 22-lbs. and 27"".",pickup at Walmart,2018-01-07T18:22:23-05:00,3,$30,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/wmtntes4c3onlnwk8h95"
,True,SHAVING & GROOMING,Remington Verso Wet/Dry Shaver & Trimmer,https://www.dealnews.com/Remington-Verso-Wet-Dry-Shaver-Trimmer-for-48-free-shipping/2173577.html,2173577,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173577"">Remington Verso Wet and Dry Shaver &amp; Trimmer</a> in Gold for $59.99. Clip the 20% off coupon to cut the price to <strong>$47.99</strong>. (A $10 Remington coupon will apply automatically with the 20% off coupon.) With <strong>free shipping</strong>, that's $4 under our May mention and the lowest price we've seen. (It's the best deal now by $12.) It includes five attachments.",free shipping,2018-01-07T18:12:36-05:00,3,$48,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/w7g4nt7mhde52xkg7tc3"
,True,VACUUM CLEANERS,Hoover React Bagless Upright Vacuum,https://www.dealnews.com/Hoover-React-Bagless-Upright-Vacuum-for-147-free-shipping/2173574.html,2173574,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173574"">Hoover React Powered Reach Premier Bagless Upright Vacuum</a> for <strong>$146.58</strong> with <strong>free shipping</strong>. That's $52 under our Cyber Monday mention and the lowest price we've seen. (It's a current low by $133.) It features a 13"" cleaning path, 6-foot hose, 30-foot cord, crevice tool, brush, flexible dusting brush, baseboard duster, hard floor duster, upholstery tool, powered stair tool, and accessory bag.",free shipping,2018-01-07T18:06:56-05:00,3,$147,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xbffixwsj1iqzri3qmup"
,,OFFICE CHAIRS,Flash Furniture Mid-Back Exec Swivel Chair,https://www.dealnews.com/Flash-Furniture-Mid-Back-Exec-Swivel-Chair-for-116-free-shipping/2173421.html,2173421,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173421"">Flash Furniture Mid-Back Executive Swivel Chair</a> in Black for <strong>$116.06</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $24. It features lumbar support, mesh back, tilt lock mechanism, and pneumatic height adjustment.",free shipping,2018-01-07T18:00:00-05:00,3,$116,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zal0nqksdcz2glgobu7v"
,,CREDIT CARDS,Bank of America® Travel Rewards Credit Card,"https://www.dealnews.com/lw/click.html?20,2,2173238",2173238,"At Bank of America, apply for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173238"">Bank of America® Travel Rewards credit card</a> and receive <strong>20,000 bonus points</strong> if you make at least $1,000 in purchases in the first 90 days of account opening – that can be redeemed for a <strong>$200 Statement Credit towards travel purchases</strong>. Plus, earn <strong>1.5 points</strong> per $1 spent on all purchases, with <strong>no annual fee</strong> and <strong>no foreign transaction fees</strong>. Redeem points for a statement credit to pay for flights, hotels, vacation packages, cruises, rental cars, or baggage fees with no blackout dates. There's no limit to the total number of points you can earn and points don't expire. Finally, there's a <strong>0% introductory APR</strong> for <strong>12 billing cycles</strong> for purchases, then <strong>16.24% - 24.24% variable APR</strong>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1631/Bank-of-America/"">Bank of America credit card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>
                    <script type=""text/javascript"">
                (function() {

                    var func = function () {

                                                /* Once is enough */
                        if (DN.isset(DN.get(""article_disclaimer-dialog""))) {
                            return;
                        }
                        
                                                    var parent = document.body;
                                                var div = document.createElement('div');
                        div.innerHTML = ""        <div class=\""dn-dialog form-box dn-panel info-dialog\"" id=\""article_disclaimer-dialog\"" >\n                            <div class=\""close icon box-close-white\""><\/div>\n            \n                            <div class=\""dialog-pointer\""><\/div>\n            \n                            <div class=\""hd\"">Disclaimer<\/div>\n            \n            <div class=\""bd\"">\n                        <div id=\""article-disclaimer\""><\/div>\n                    <\/div>\n\n                    <\/div>\n\n        "";
                        while (div.children.length > 0) {
                            parent.appendChild(div.children[0]);
                        }

                        
                            DN.forms.init();

                        
                                            };

                    if (DN.DOMReady) {
                        func();
                    } else {
                        DN.onDOMReady.bind(func);
                    }

                })();
            </script>",,2018-01-06T12:18:57-05:00,,"20,000 bonus points offer","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bv3urdvfxvmwirwdv9qm"
,,TABLES,Zinus Modern Studio Collection Table,https://www.dealnews.com/Zinus-Modern-Studio-Collection-Table-for-32-free-shipping/2173418.html,2173418,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173418"">Zinus Modern Studio Collection Table</a> for <strong>$31.87</strong> with <strong>free shipping</strong>. That's $38 off and the lowest price we could find. It features a storage basket and measures 20"" x 20"".",free shipping,2018-01-07T17:45:00-05:00,4,$32,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/fzden3gfobjgjsswynsz"
,,DESKS,Monarch Specialties Left or Right Corner Desk,https://www.dealnews.com/Monarch-Specialties-Left-or-Right-Corner-Desk-for-226-free-shipping/2173415.html,2173415,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173415"">Monarch Specialties Hollow-Core Left or Right Facing Corner Desk</a> in White for <strong>$226.17</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099183,2173415"">Amazon</a> charges the same.) That's the lowest price we could find by $12. It measures 60"" x 47"" x 30"".",free shipping,2018-01-07T17:30:00-05:00,3,$226,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gnqfll1rjljgeopix7gt"
,,TABLES,Furinno Simple Design Coffee Table,https://www.dealnews.com/Furinno-Simple-Design-Coffee-Table-for-21-free-shipping-w-Prime/2173412.html,2173412,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173412"">Furinno Simple Design Coffee Table</a> in Espresso for <strong>$20.79</strong> with <strong>free shipping</strong>. That's the lowest price we could find by a buck. It measures 35.5"" x 21.5"" x 16.25"".",free shipping w/ Prime,2018-01-07T17:15:00-05:00,3,$21,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/r85nyjf0wryvmfjop8gd"
,,KITCHEN,FoodSaver Quick 2.25-Quart Marinator,https://www.dealnews.com/Food-Saver-Quick-2.25-Quart-Marinator-for-11-free-shipping-w-Prime/2173427.html,2173427,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173427"">FoodSaver 2.25-Quart Quick Marinator</a> for <strong>$11.23</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $2, although saw it for $8 less on Black Friday. Designed for use with FoodSaver vacuum sealing systems, it infuses foods with flavor in minutes. It's also dishwasher-safe and BPA-free.",free shipping w/ Prime,2018-01-07T17:00:00-05:00,4,$11,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/y3xjswbsla6lk1msndf7"
,,WATCHES,Anne Klein Women's Ceramic Bracelet Watch,https://www.dealnews.com/Anne-Klein-Womens-Ceramic-Bracelet-Watch-for-40-free-s-h-w-beauty-item/2173562.html,2173562,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173562"">Anne Klein Women's Light Pink Ceramic Bangle Bracelet Watch</a> for <strong>$39.99</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099273,2173562"">beauty item</a> (they start at $3) to bag <b>free shipping</b>; otherwise, shipping adds $10.95. That's $110 off list and the lowest price we could find. Features include a rose gold-tone mixed metal case, ceramic bangle bracelet, and 100 feet of water resistance.",free s&h w/beauty item,2018-01-07T16:58:19-05:00,3,$40,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/goyckwqrslqzweyqpqdx"
,,BACKPACKS,REI Co-op Women's Sprint Flap Daypack,https://www.dealnews.com/REI-Co-op-Womens-Sprint-Flap-Daypack-for-26-pickup-at-REI/2173502.html,2173502,"REI Garage offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173502"">REI Co-op Women's Sprint Flap Daypack</a> in Black for $34.73. Add it to your cart and it falls to <strong>$26.05</strong>. Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping charge. That's $44 off list and the lowest price we could find. It features interior zip mesh pockets, a divider panel, padded back and shoulder straps, and a 14"" laptop compartment. Deal ends January 8.",pickup at REI,2018-01-07T16:45:00-05:00,3,$26,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ozhhz2m15yblv0fnh12v"
,,HAND TOOLS,Kobalt 20pc SAE / Metric Mechanic's Tool Set,https://www.dealnews.com/Kobalt-20-pc-SAE-Metric-Mechanics-Tool-Set-for-20-free-shipping/2173526.html,2173526,"Lowe's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173526"">Kobalt 20-Piece Standard and Metric Mechanic's Tool Set</a> for <strong>$19.98</strong>. Plus, MyLowe's members bag <strong>free shipping</strong>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099240,2173526"">join</a>.) That's tied with last week's mention, $30 off list, and the lowest price we could find. It includes an extendable handle and an assortment of sockets and bits. Deal ends February 6.",free shipping,2018-01-07T16:40:24-05:00,3,$20,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zxshjz1phvoyx3tyebx4"
,,TOOLS & HARDWARE,Neiko 100-Piece Utility Blades w/ Dispenser,https://www.dealnews.com/Neiko-100-Piece-Utility-Blades-w-Dispenser-for-8-free-shipping/2173529.html,2173529,"Square2Box via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173529"">Neiko 100-Piece Utility Blades with Dispenser</a> for <strong>$7.98</strong> with <strong>free shipping</strong>. That's tied with last month's mention and the lowest price we could find by $4. They're compatible with most standard utility knives.",free shipping,2018-01-07T16:36:23-05:00,3,$8,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/yt7npmvgzttaujutezkl"
,,SHOES,Crocs Sale,https://www.dealnews.com/Crocs-Sale-25-off-sitewide-free-shipping-w-25/2173532.html,2173532,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173532"">Crocs</a> takes <b>25% off</b> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099243,2173532"">men's, women's, and kids' shoes</a> sitewide. (The discount applies in cart.) Plus, it stacks with <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099246,2173532"">sale items</a>, which are already marked <b>up to 50% off</b>. Shipping adds <strong>$4.99</strong>, although orders of $24.99 or more bag free shipping. Deal ends January 8.",free shipping w/ $25,2018-01-07T16:34:39-05:00,4,25% off sitewide,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/xlgmfnw0pw0bcsgixbcp"
,,CREDIT CARDS,Chase Freedom Unlimited® Card,"https://www.dealnews.com/lw/click.html?20,2,2173271",2173271,"Sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173271"">Chase Freedom Unlimited® Card</a> and <strong>earn a $150 Bonus</strong> after you spend $500 on purchases in your first three months from account opening. Plus, receive a <strong>0% Intro APR</strong> for 15 months on purchases and balance transfers. (After that, variable APR, currently 15.99% - 24.74%.) Other card features include earning <strong>unlimited 1.5% cash back</strong> on every purchase. It's automatic! Redeem for cash back - any amount, anytime and your Cash Back rewards do not expire as long as your account is open. Plus, there's <strong>no annual fee</strong>. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099087,2173271"">click here</a>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>",,2018-01-06T12:54:19-05:00,,Earn a $150 bonus,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ydfbhq1eoc6ncmebhug2"
,,PORTABLE SPEAKERS,Sony SRSX11 Portable Bluetooth Speaker,https://www.dealnews.com/Sony-SRSX11-Portable-Bluetooth-Speaker-for-38-free-shipping/2173523.html,2173523,"Groupon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173523"">Sony SRSX11 Portable Bluetooth Speaker</a> in White for <b>$37.99</b> with <b>free shipping</b>. That's the lowest price we could find by $5. This 10-watt speaker features Bluetooth 3.0 with NFC pairing, auxiliary input, and up to 12 hours of battery life.",free shipping,2018-01-07T16:32:07-05:00,3,$38,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/w0bpadvbrrdjwbdnqzp8"
,,TOYS & HOBBIES,Disney Frozen 12V Ride-On Sleigh,https://www.dealnews.com/Disney-Frozen-12-V-Ride-On-Sleigh-for-198-pickup-at-Walmart/2173433.html,2173433,"For in-store pickup only, with stock varying by location, Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173433"">Disney Frozen 12-volt Ride-On Sleigh</a> for <b>$198</b>. That's tied with our February mention, $100 off, and the best price we could find. It features a maximum speed of 5 mph and music and flashing lights.",pickup at Walmart,2018-01-07T16:30:00-05:00,3,$198,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/m7lnp5ymz3waiiwhovv4"
,,CLEANING SUPPLIES,Mothers Detail Brush 2-Pack,https://www.dealnews.com/Mothers-Detail-Brush-2-Pack-for-4-free-shipping-w-Prime/2173520.html,2173520,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173520"">Mothers Detail Brush 2-Pack</a> for <strong>$3.60</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $2. It features scratch free bristles.",free shipping w/ Prime,2018-01-07T16:29:43-05:00,5,$4,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/uazh7riukwwkteflzgd4"
